"","NMDS1","NMDS2","NMDS3","species"
"led440",0.431613780206796,-0.055959746947153,-0.0553139218662937,"led440"
"led480",0.491638717124431,-0.00646915871260477,-0.0630930858365583,"led480"
"led540",0.178071380360042,0.224542886943637,0.15300625289852,"led540"
"led590",-0.197509230200914,0.0120188015380001,0.0267236614480207,"led590"
"led625",-0.249407793881427,-0.08182396762843,-0.0338856067974445,"led625"
