sample,led440,led480,led540,led590,led625,source,medium,year,uncorrected F from phytoPAM,,,,
syleo,100,30,129,1000,673,Default,unknown,Default,0.1,0.03,0.129,1,0.673
chlorella,1000,705,191,513,292,Default,unknown,Default,1,0.705,0.191,0.513,0.292
phaeo,1000,611,428,326,183,Default,unknown,Default,1,0.611,0.428,0.326,0.183
crypto,507,378,481,1000,213,Default,unknown,Default,0.507,0.378,0.481,1,0.213
synechoccus,188,62,369,1000,963,non-Default,unknown,non-Default,0.188,0.062,0.369,1,0.963
synnechoccus_leopoliensis,91,33,149,1000,844,non-Default,unknown,non-Default,0.091,0.033,0.149,1,0.844
cyano-8me2,36,30,564,1000,28,non-Default,hm,non-Default,0.036,0.03,0.564,1,0.028
pcc7376_old,11,12,1000,975,12,non-Default,asnIII,non-Default,0.011,0.012,1,0.975,0.012
pcc7938_old,250,106,169,1000,667,non-Default,bg11o,non-Default,0.25,0.106,0.169,1,0.667
pcc9806_old,250,158,211,1000,631,non-Default,bg11o,non-Default,0.25,0.158,0.211,1,0.631
pcc7806_old,202,152,213,1000,607,non-Default,bg11o,non-Default,0.202,0.152,0.213,1,0.607
pcc9807_old,203,150,218,1000,605,non-Default,bg11o,non-Default,0.203,0.15,0.218,1,0.605
planktothrix,133,165,820,1000,423,non-Default,asnIII,non-Default,0.133,0.165,0.82,1,0.423
niva_cya34a,143,105,214,1000,582,non-Default,lake_water,non-Default,0.143,0.105,0.214,1,0.582
niva_cya34b,167,122,223,1000,593,non-Default,lake_water,non-Default,0.167,0.122,0.223,1,0.593
pcc9806_lw,177,122,201,1000,619,non-Default,lake_water,non-Default,0.177,0.122,0.201,1,0.619
niva_cya540,692,524,772,1000,483,non-Default,lake_water,non-Default,0.692,0.524,0.772,1,0.483
pcc7938_lw,245,170,225,1000,649,non-Default,lake_water,non-Default,0.245,0.17,0.225,1,0.649
niva_cya34_april,130,99,215,1000,575,non-Default,z8,non-Default,0.13,0.099,0.215,1,0.575
niva_cya34b_z8,238,222,282,1000,609,non-Default,z8,non-Default,0.238,0.222,0.282,1,0.609
niva_cya540_z8,295,259,925,1000,398,non-Default,z8,non-Default,0.295,0.259,0.925,1,0.398
pcc9806_bg11,242,216,263,1000,624,non-Default,bg11o,non-Default,0.242,0.216,0.263,1,0.624
pcc7938_august,406,180,222,1000,655,non-Default,bg11o,non-Default,0.406,0.18,0.222,1,0.655
pcc7376_asn,229,276,1000,891,256,non-Default,asnIII,non-Default,0.229,0.276,1,0.891,0.256
5-21810002-2019,856.3333333,538,413,778,410,samples,,2019,,,,,
5-21810001-2019,839,500,450,955,559.6666667,samples,,2019,,,,,
5-21500001-2019,571.3333333,270.3333333,108,253.3333333,156.3333333,samples,,2019,,,,,
5-21420001-2019,184,78,181.6666667,1067.333333,670,samples,,2019,,,,,
5-21350001-2019,151.3333333,52,170.3333333,1129.666667,758.6666667,samples,,2019,,,,,
5-21170001-2019,451,248,282,934,649.3333333,samples,,2019,,,,,
5-21170002-2019,679,383.6666667,414.3333333,1348.333333,854.5,samples,,2019,,,,,
6-21940001-2019,949.6666667,506.3333333,434,843,338.5,samples,,2019,,,,,
6-21130002-2019,681,381.3333333,333.6666667,1139.666667,747.3333333,samples,,2019,,,,,
6-21130001-2019,719,406.3333333,338.3333333,1099.333333,698.3333333,samples,,2019,,,,,
6-21810002-2019,302.3333333,149.3333333,231,1203.333333,801.6666667,samples,,2019,,,,,
6-21810001-2019,855.6666667,517.3333333,470,1273.333333,822.3333333,samples,,2019,,,,,
6-21500001-2019,1483.333333,870.6666667,659.6666667,771.6666667,424.3333333,samples,,2019,,,,,
6-21420001-2019,176.3333333,79.33333333,231.3333333,1332.666667,800.6666667,samples,,2019,,,,,
6-21350001-2019,159.6666667,53,187,1275.666667,865,samples,,2019,,,,,
6-21170001-2019,472.6666667,262.3333333,308,1067.666667,755.3333333,samples,,2019,,,,,
6-21170002-2019,514.6666667,290.3333333,328,1187,769.6666667,samples,,2019,,,,,
7-21940001-2019,607.6666667,251.6666667,151.6666667,369.3333333,200.6666667,samples,,2019,,,,,
7-21130002-2019,900.3333333,451.3333333,331.6666667,1049.333333,670.3333333,samples,,2019,,,,,
7-21130001-2019,1046,538,404.3333333,1202.666667,737.6666667,samples,,2019,,,,,
7-21810002-2019,1067.666667,685.3333333,556,926.6666667,457.3333333,samples,,2019,,,,,
7-21810001-2019,1173.833333,677.6666667,465.8333333,1193.166667,804.8333333,samples,,2019,,,,,
7-21500001-2019,1042.333333,606.3333333,446,814,525.3333333,samples,,2019,,,,,
7-21420001-2019,124,51.33333333,182,1017.333333,598.3333333,samples,,2019,,,,,
7-21350001-2019,169.3333333,65.33333333,179,1104.666667,738.6666667,samples,,2019,,,,,
7-21170001-2019,402.6666667,206.6666667,236.3333333,1078.333333,753,samples,,2019,,,,,
7-21170002-2019,282.6666667,144,219.3333333,874.3333333,590.3333333,samples,,2019,,,,,
8-21940001-2019,869.3333333,519,414.3333333,941,413.3333333,samples,,2019,,,,,
8-21130002-2019,1169.666667,773.6666667,298.3333333,804.6666667,479,samples,,2019,,,,,
8-21130001-2019,1119.333333,732.3333333,299.3333333,792.6666667,466.6666667,samples,,2019,,,,,
8-21810002-2019,797.3333333,498.3333333,431.6666667,1313.666667,806,samples,,2019,,,,,
8-21810001-2019,825.3333333,506,449.6666667,1453,891,samples,,2019,,,,,
8-21500001-2019,1085.666667,736.3333333,416.6666667,686.6666667,447.3333333,samples,,2019,,,,,
8-21420001-2019,180.3333333,72.33333333,212,1209,701.3333333,samples,,2019,,,,,
8-21350001-2019,170.3333333,65.33333333,198,1217,788.6666667,samples,,2019,,,,,
8-21170001-2019,612.8333333,347.1666667,327.5,1179.666667,830,samples,,2019,,,,,
8-21170002-2019,468.6666667,272,305,1111.666667,756.3333333,samples,,2019,,,,,
9-21940001-2019,849.3333333,493.3333333,329.3333333,794.6666667,403,samples,,2019,,,,,
9-21130002-2019,1041.666667,637.6666667,343,1101.666667,704.3333333,samples,,2019,,,,,
9-21130001-2019,1027,619.6666667,333,1041.666667,662.6666667,samples,,2019,,,,,
9-21810002-2019,551,292.3333333,284.3333333,1256.333333,902,samples,,2019,,,,,
9-21810001-2019,416.3333333,220,258.3333333,1231.666667,845,samples,,2019,,,,,
9-21500001-2019,1178.333333,765,469.3333333,705.3333333,428,samples,,2019,,,,,
9-21420001-2019,160,60,157.3333333,906,535,samples,,2019,,,,,
9-21350001-2019,133.1666667,49.66666667,178.8333333,1063,665.1666667,samples,,2019,,,,,
